year,avg_temp,10Y_movingavg
1751,21.65,
1752,17.8,
1753,21.01,
1754,21.07,
1755,19.67,
1756,21.42,
1757,20.85,
1758,19.54,
1759,20.57,
1760,19.49,20.3
1761,21.39,20.28
1762,20.97,20.59
1763,19.36,20.43
1764,21.28,20.45
1765,20.99,20.58
1766,21.43,20.58
1767,20.63,20.56
1768,19.82,20.59
1769,20.77,20.61
1770,20.63,20.72
1771,21.39,
1772,21.26,
1773,21.33,
1774,21.16,
1775,21.86,
1776,20.89,
1777,20.62,
1778,19.3,
1779,16.63,
1781,21.09,20.55
1782,20.66,
1783,20.44,
1784,20.49,
1785,20.22,
1786,20.78,
1787,20.82,
1788,21.24,
1789,21.01,
1790,20.9,
1791,21.15,20.77
1792,20.68,
1793,21.1,
1794,21.24,
1795,21.05,
1796,20.84,
1797,20.86,
1798,21.49,
1799,21.22,
1800,21.05,
1801,21.38,21.09
1802,21.57,
1803,21.42,
1804,21.44,
1805,21.5,
1806,21.12,
1807,20.9,
1808,20.74,
1809,19.91,
1810,20.01,
1811,20.18,20.87
1812,19.53,
1813,20.5,
1814,20.24,
1815,19.96,
1816,19.55,
1817,19.63,
1818,20.29,
1819,20.19,
1820,20.3,
1821,20.3,20.04
1822,21.19,
1823,20.49,
1824,21.39,
1825,21.42,
1826,21.42,
1827,21.93,
1828,22.68,
1829,20.96,
1830,22.21,
1831,20.7,21.43
1832,21.16,
1833,21.21,
1834,21.84,
1835,20.94,
1836,20.57,
1837,21.11,
1838,20.7,
1839,21.09,
1840,21.18,
1841,20.66,21.04
1842,21.05,
1843,20.21,
1844,20.53,
1845,20.23,
1846,20.73,
1847,20.66,
1848,20.91,
1849,21.35,
1850,21.31,
1851,20.86,20.78
1852,20.83,
1853,21.13,
1854,21.06,
1855,20.87,
1856,20.39,
1857,20.19,
1858,20.89,
1859,21.05,
1860,21.15,
1861,21.15,20.87
1862,21.41,
1863,20.89,
1864,20.59,
1865,21.3,
1866,20.99,
1867,21.14,
1868,20.66,
1869,21.26,
1870,20.91,
1871,21.29,21.29
1872,20.43,
1873,20.5,
1874,20.97,
1875,20.75,
1876,20.57,
1877,20.84,
1878,20.9,
1879,21.01,
1880,21.52,
1881,21.28,20.87
1882,21.46,
1883,21.57,
1884,21.14,
1885,20.21,
1886,20.14,
1887,20.67,
1888,20.91,
1889,20.44,
1890,21.46,
1891,20.79,20.87
1892,20.4,
1893,20.96,
1894,21.04,
1895,20.28,
1896,20.95,
1897,21.38,
1898,21.04,
1899,21.02,
1900,20.95,
1901,19.81,20.78
1902,20.91,
1903,20.38,
1904,20.4,
1905,20.86,
1906,20.89,
1907,21.38,
1908,21.27,
1909,21.11,
1910,20.23,
1911,21.99,20.94
1912,21.14,
1913,21.22,
1914,20.66,
1915,20.89,
1916,21.16,
1917,20.64,
1918,21.18,
1919,21.38,
1920,20.41,
1921,21.61,21.02
1922,21.62,
1923,21.25,
1924,20.74,
1925,21.37,
1926,20.77,
1927,21.76,
1928,20.72,
1929,21.57,
1930,20.66,
1931,21.28,21.17
1932,21.88,
1933,21.72,
1934,21.19,
1935,21.33,
1936,21.15,
1937,21.16,
1938,21.32,
1939,21.62,
1940,20.15,
1941,21.2,21.27
1942,20.95,
1943,21.03,
1944,21.26,
1945,21.69,
1946,21.91,
1947,21.31,
1948,22.06,
1949,22.05,
1950,21.32,
1951,21.31,21.48
1952,21.31,
1953,21.66,
1954,21.22,
1955,21.25,
1956,21.17,
1957,21.73,
1958,20.56,
1959,21.55,
1960,20.76,
1961,21.3,21.25
1962,21.1,
1963,20.76,
1964,21.19,
1965,21.17,
1966,20.6,
1967,21.27,
1968,20.4,
1969,20.61,
1970,20.99,
1971,21.54,20.96
1972,21.71,
1973,21.44,
1974,21.7,
1975,21.88,
1976,20.59,
1977,20.87,
1978,20.99,
1979,21.1,
1980,21.08,
1981,20.73,21.2
1982,22.05,
1983,20.73,
1984,21.16,
1985,21.7,
1986,22.05,
1987,21.1,
1988,20.81,
1989,21.64,
1990,22.57,
1991,22.09,21.59
1992,21.25,
1993,21.27,
1994,21.99,
1995,21.6,
1996,21.07,
1997,21.76,
1998,22.65,
1999,21.85,
2000,21.31,
2001,21.75,21.65
2002,21.96,
2003,21.65,
2004,21.68,
2005,21.57,
2006,22.01,
2007,22.21,
2008,21.67,
2009,21.94,
2010,20.81,
2011,22.12,21.76
2012,22.23,
2013,22.49,
